Hour,Region,NonAI_IT_Load_MW,IT_Power_Margin_MW
0,RegionA,367.981667,52.018332999999984
0,RegionB,325.436667,84.563333
0,RegionC,337.659333,67.340667
0,RegionD,296.44,423.56
0,RegionE,346.67,213.32999999999998
0,RegionF,358.41,181.58999999999997
1,RegionA,393.03,26.970000000000027
1,RegionB,381.385333,28.614666999999997
1,RegionC,357.876,47.124000000000024
1,RegionD,304.584,415.416
1,RegionE,382.138333,177.861667
1,RegionF,314.83,225.17000000000002
2,RegionA,395.664,24.336000000000013
2,RegionB,361.789333,48.210667
2,RegionC,357.1,47.89999999999998
2,RegionD,309.091667,410.908333
2,RegionE,382.82,177.18
2,RegionF,319.95,220.05
3,RegionA,392.285,27.714999999999975
3,RegionB,363.532,46.46800000000002
3,RegionC,357.1,47.89999999999998
3,RegionD,310.994333,409.005667
3,RegionE,390.24,169.76
3,RegionF,331.53,208.47000000000003
4,RegionA,390.553333,29.44666699999999
4,RegionB,364.354667,45.645332999999994
4,RegionC,355.5,49.5
4,RegionD,357.345667,362.654333
4,RegionE,376.258333,183.741667
4,RegionF,339.75,200.25
5,RegionA,390.19,29.810000000000002
5,RegionB,376.153333,33.846667000000025
5,RegionC,362.527333,42.472667
5,RegionD,359.761333,360.238667
5,RegionE,402.854,157.14600000000002
5,RegionF,374.923333,165.076667
6,RegionA,392.482667,27.517333000000008
6,RegionB,379.895,30.105000000000018
6,RegionC,356.012,48.988
6,RegionD,376.36,343.64
6,RegionE,438.076667,121.92333300000001
6,RegionF,408.834667,131.16533299999998
7,RegionA,391.310667,28.689332999999976
7,RegionB,378.021333,31.978666999999973
7,RegionC,352.289333,52.710667
7,RegionD,367.372333,352.627667
7,RegionE,428.322667,131.67733299999998
7,RegionF,371.44,168.56
8,RegionA,379.82,40.18000000000001
8,RegionB,377.305333,32.69466699999998
8,RegionC,351.746667,53.253333
8,RegionD,363.737333,356.262667
8,RegionE,394.935667,165.06433299999998
8,RegionF,349.92,190.07999999999998
9,RegionA,381.911333,38.08866699999999
9,RegionB,376.248,33.75200000000001
9,RegionC,359.160667,45.83933300000001
9,RegionD,344.891333,375.108667
9,RegionE,413.19,146.81
9,RegionF,402.599333,137.400667
10,RegionA,374.416667,45.58333299999998
10,RegionB,378.72,31.279999999999973
10,RegionC,365.219667,39.780332999999985
10,RegionD,347.351333,372.648667
10,RegionE,340.493333,219.506667
10,RegionF,352.333333,187.66666700000002
11,RegionA,355.858,64.142
11,RegionB,380.863333,29.13666699999999
11,RegionC,359.438,45.56200000000001
11,RegionD,304.246,415.754
11,RegionE,296.71,263.29
11,RegionF,311.191333,228.808667
12,RegionA,331.547333,88.45266700000002
12,RegionB,331.360333,78.63966699999997
12,RegionC,331.413333,73.58666699999998
12,RegionD,271.27,448.73
12,RegionE,285.225333,274.774667
12,RegionF,335.506667,204.493333
13,RegionA,315.802,104.19799999999998
13,RegionB,303.576333,106.42366700000002
13,RegionC,318.768667,86.231333
13,RegionD,289.992,430.008
13,RegionE,239.157333,320.842667
13,RegionF,282.996,257.004
14,RegionA,306.239333,113.76066700000001
