SourceRegion,RegionA,RegionA,RegionA,RegionB,RegionB,RegionB,RegionC,RegionC,RegionC,RegionD,RegionD,RegionD,RegionE,RegionE,RegionE,RegionF,RegionF,RegionF
TaskType,RealTimeInference,BatchInference,AITraining,RealTimeInference,BatchInference,AITraining,RealTimeInference,BatchInference,AITraining,RealTimeInference,BatchInference,AITraining,RealTimeInference,BatchInference,AITraining,RealTimeInference,BatchInference,AITraining
ArrivalHour,,,,,,,,,,,,,,,,,,
0,38.45,25.133333333333333,0.0,49.349999999999994,0.0,158.0,3.6,21.666666666666668,0.0,0.0,0.0,1009.1500000000001,0.0,44.85,89.46666666666665,0.0,0.0,665.0666666666667
1,11.066666666666666,143.0,0.0,11.733333333333334,0.0,0.0,0.0,96.96666666666667,891.5166666666667,2.6,71.73333333333333,645.4166666666666,0.0,0.0,160.53333333333333,0.0,0.0,796.5999999999999
2,81.58333333333333,129.66666666666666,0.0,22.266666666666666,140.2,308.0833333333333,4.6,65.6,0.0,0.0,153.11666666666665,1141.6000000000001,0.0,82.18333333333334,188.58333333333334,0.0,0.0,826.95
3,108.48333333333335,53.1,0.0,34.25,27.466666666666665,163.23333333333332,0.0,0.0,0.0,0.0,17.849999999999998,350.3,0.0,51.150000000000006,400.48333333333335,0.0,0.0,698.1666666666667
4,34.11666666666667,94.5,0.0,13.066666666666666,184.03333333333333,0.0,13.75,37.0,0.0,0.0,0.0,155.41666666666666,0.0,0.0,758.4166666666667,0.0,24.833333333333336,0.0
5,54.81666666666666,0.0,0.0,42.266666666666666,0.0,0.0,3.8,147.9,0.0,6.950000000000001,38.099999999999994,687.85,10.25,11.6,53.199999999999996,0.0,14.9,545.8333333333334
6,8.25,0.0,0.0,102.05,157.31666666666666,0.0,40.81666666666667,34.4,295.26666666666665,0.0,0.0,338.8,0.0,0.0,0.0,0.0,50.4,511.4666666666667
7,34.6,45.5,73.19999999999999,7.7,104.69999999999999,19.25,0.0,0.0,529.65,0.0,16.5,904.35,0.0,39.0,203.96666666666667,0.0,129.7,211.11666666666667
8,22.833333333333336,105.23333333333333,368.0,90.56666666666666,0.0,83.7,96.26666666666667,0.0,0.0,0.0,0.0,627.0833333333333,14.200000000000001,24.566666666666666,336.0,0.0,85.14999999999999,201.85
9,0.0,0.0,0.0,81.48333333333333,75.89999999999999,0.0,0.0,31.883333333333333,0.0,0.0,16.200000000000003,48.15,25.083333333333332,195.16666666666666,522.45,0.0,50.83333333333333,0.0
