SourceRegion,RegionA,RegionA,RegionA,RegionB,RegionB,RegionB,RegionC,RegionC,RegionC,RegionD,RegionD,RegionD,RegionE,RegionE,RegionE,RegionF,RegionF,RegionF
TaskType,RealTimeInference,BatchInference,AITraining,RealTimeInference,BatchInference,AITraining,RealTimeInference,BatchInference,AITraining,RealTimeInference,BatchInference,AITraining,RealTimeInference,BatchInference,AITraining,RealTimeInference,BatchInference,AITraining
HourOfDay,,,,,,,,,,,,,,,,,,
0,36.632333333333335,61.53533333333333,81.47183333333334,26.311,66.1605,110.48866666666667,25.6005,41.994,77.732,2.1415,51.849,581.9128333333333,1.9255000000000002,33.29983333333333,403.8478333333333,2.7565,43.789833333333334,433.4046666666667
1,32.96933333333333,71.28133333333334,82.84633333333333,28.072166666666668,68.9205,97.08783333333332,20.276500000000002,43.030833333333334,96.962,2.2453333333333334,62.481833333333334,552.2885,3.807,38.243833333333335,453.00949999999995,2.5788333333333333,38.84883333333333,446.00516666666664
2,34.4165,63.228833333333334,73.14033333333333,27.855833333333337,60.49333333333333,110.04866666666666,22.554166666666664,47.747,80.75866666666667,1.3895,57.63133333333333,607.2235,2.7923333333333336,52.16983333333334,526.0641666666667,3.1561666666666666,34.6475,428.509
3,32.07933333333333,58.94883333333333,96.86399999999999,33.276666666666664,67.98383333333334,96.71316666666665,25.064666666666668,59.57933333333333,39.906,3.0405,68.22399999999999,628.3423333333333,4.157666666666667,40.521166666666666,409.83183333333335,2.4741666666666666,33.23683333333334,436.839
4,31.2635,73.66783333333333,76.38666666666667,28.836666666666666,67.18566666666666,105.82516666666666,22.299166666666665,50.27616666666667,96.28916666666666,2.4130000000000003,62.03783333333333,613.5436666666667,1.9451666666666665,52.998000000000005,431.92,3.313,32.966,491.10333333333335
5,36.45733333333334,56.00899999999999,97.65866666666666,28.698333333333334,62.59433333333333,62.89166666666667,22.722166666666666,42.93600000000001,79.56733333333332,1.7333333333333334,55.920500000000004,577.1826666666667,3.9465000000000003,40.555,367.0388333333333,3.8996666666666666,30.932166666666667,418.11199999999997
6,32.32233333333333,56.285666666666664,97.00083333333333,30.928,69.4,91.71383333333333,27.522166666666667,44.11716666666666,105.387,2.1561666666666666,61.826166666666666,655.7693333333333,2.8238333333333334,40.7765,294.98716666666667,3.0839999999999996,29.6215,383.2583333333334
7,29.508166666666668,66.72149999999999,108.12899999999999,27.88116666666667,66.635,68.39583333333333,25.520500000000002,50.30033333333333,84.09766666666667,2.3615,62.99083333333333,624.1133333333333,3.6664999999999996,40.9585,457.3376666666667,1.6893333333333334,33.80466666666667,443.03683333333333
8,33.141666666666666,51.91883333333333,99.61433333333335,27.351833333333335,60.85666666666667,109.85233333333333,21.775166666666667,49.85466666666666,79.83866666666667,2.8221666666666665,58.827333333333335,502.68016666666665,4.164333333333333,40.79266666666666,402.4678333333333,3.0381666666666667,33.93933333333334,440.19
9,35.74133333333333,66.04899999999999,88.11333333333334,24.945666666666668,60.57366666666667,100.90583333333332,26.20116666666667,54.156000000000006,81.93483333333333,2.1385,68.64066666666666,528.5523333333333,4.242166666666666,39.541,483.3136666666667,2.2648333333333333,29.554166666666664,408.05016666666666
10,29.2945,69.234,106.97833333333334,27.863166666666665,52.31066666666666,46.60283333333333,22.64016666666667,55.2125,56.72583333333333,4.648166666666667,54.855,570.8781666666666,4.002666666666666,28.366999999999997,378.8183333333334,2.4761666666666664,36.990833333333335,477.4771666666667
11,32.3425,53.465,103.30683333333334,28.943166666666666,60.30766666666666,66.65783333333333,25.000166666666665,44.499833333333335,82.65316666666668,2.8266666666666667,71.98933333333333,596.6273333333334,3.5669999999999997,44.8795,383.902,2.9185,33.00516666666667,432.86833333333334
12,33.903,73.2915,101.4945,25.666833333333333,63.54716666666667,111.97733333333333,23.814666666666668,55.488,92.59766666666667,3.1289999999999996,67.41283333333334,561.508,4.752666666666666,60.18483333333334,395.6433333333334,3.6321666666666665,58.95366666666667,382.46816666666666
13,35.87583333333333,66.334,98.866,28.275833333333335,59.703,106.51700000000001,27.450333333333333,52.517833333333336,65.42116666666666,1.5433333333333334,75.6755,585.6798333333334,2.983333333333333,40.2745,336.5075,2.5533333333333332,40.06133333333333,399.9575
14,32.43383333333333,60.738166666666665,43.94116666666667,29.339000000000002,63.184,85.76733333333334,27.761333333333333,49.43899999999999,78.48266666666666,2.9995,65.89283333333334,510.9176666666667,4.8395,41.59,444.3513333333333,1.9165,50.07633333333333,351.97666666666663
15,29.7835,70.96616666666667,84.90433333333333,29.2905,62.991499999999995,72.47183333333334,27.813166666666667,47.18783333333334,96.98733333333334,4.195,69.33183333333334,625.1778333333333,5.1739999999999995,43.70483333333333,427.62450000000007,2.354,36.6085,392.2323333333334
