时间,电价
6.9444444444444441E-3,0.42480000000000001
1.3888888888888888E-2,0.42449999999999999
2.0833333333333332E-2,0.4269
2.7777777777777776E-2,0.42720000000000002
3.4722222222222224E-2,0.42709999999999998
4.1666666666666664E-2,0.42849999999999999
4.8611111111111112E-2,0.43109999999999998
5.5555555555555552E-2,0.43020000000000003
6.25E-2,0.4279
6.9444444444444434E-2,0.43120000000000003
7.6388888888888895E-2,0.43330000000000002
8.3333333333333329E-2,0.43109999999999998
9.0277777777777776E-2,0.42930000000000001
9.7222222222222224E-2,0.43240000000000001
0.10416666666666667,0.43669999999999998
0.1111111111111111,0.43480000000000002
0.11805555555555557,0.4335
0.125,0.43569999999999998
0.13194444444444445,0.43740000000000001
0.1388888888888889,0.43709999999999999
0.14583333333333334,0.43559999999999999
0.15277777777777776,0.43530000000000002
0.15972222222222224,0.436
0.16666666666666666,0.43780000000000002
0.17361111111111113,0.44009999999999999
0.18055555555555555,0.43890000000000001
0.1875,0.43640000000000001
0.19444444444444445,0.43930000000000002
0.20138888888888887,0.44219999999999998
0.20833333333333334,0.4395
0.21527777777777779,0.43330000000000002
0.22222222222222221,0.44390000000000002
0.22916666666666666,0.43009999999999998
0.23611111111111113,0.37130000000000002
0.24305555555555555,0.57079999999999997
0.25,0.90990000000000004
0.25694444444444448,0.93679999999999997
0.2638888888888889,0.87580000000000002
0.27083333333333331,0.87590000000000001
0.27777777777777779,0.86009999999999998
0.28472222222222221,0.84419999999999995
0.29166666666666669,0.83340000000000003
0.2986111111111111,0.80920000000000003
0.30555555555555552,0.79720000000000002
0.3125,0.76439999999999997
0.31944444444444448,0.68989999999999996
0.3263888888888889,0.86
0.33333333333333331,1.1617
0.34027777777777773,1.1682999999999999
0.34722222222222227,1.0955999999999999
0.35416666666666669,1.0849
0.3611111111111111,1.0609999999999999
0.36805555555555558,1.0429999999999999
0.375,1.036
0.38194444444444442,1.0146999999999999
0.3888888888888889,0.99219999999999997
0.39583333333333331,0.97
0.40277777777777773,0.94220000000000004
0.40972222222222227,0.95689999999999997
0.41666666666666669,0.99770000000000003
10:10,0.9919
10:20,0.95879999999999999
10:30,0.95489999999999997
10:40,0.9839
10:50,0.79900000000000004
11:00,0.50249999999999995
11:10,0.4662
11:20,0.50070000000000003
11:30,0.48270000000000002
11:40,0.47849999999999998
11:50,0.4662
12:00,0.44319999999999998
12:10,0.44109999999999999
12:20,0.4551
12:30,0.44629999999999997
12:40,0.4113
12:50,0.56820000000000004
13:00,0.82789999999999997
13:10,0.86360000000000003
13:20,0.84160000000000001
13:30,0.86180000000000001
13:40,0.86229999999999996
13:50,0.90259999999999996
14:00,0.97540000000000004
14:10,1.0002
14:20,0.99780000000000002
14:30,1.0270999999999999
14:40,1.0906
14:50,0.93759999999999999
15:00,0.6694
15:10,0.66
15:20,0.72170000000000001
15:30,0.73080000000000001
15:40,0.75339999999999996
15:50,0.7823
16:00,0.80549999999999999
16:10,0.82709999999999995
16:20,0.85189999999999999
16:30,0.87909999999999999
16:40,0.90239999999999998
16:50,0.9163
17:00,0.9264
17:10,0.94620000000000004
17:20,0.97419999999999995
17:30,0.98619999999999997
17:40,0.97599999999999998
17:50,1.0742
18:00,1.2313000000000001
18:10,1.2561
18:20,1.2446999999999999
18:30,1.2544999999999999
18:40,1.2522
18:50,1.2881
19:00,1.3466
19:10,1.3523000000000001
19:20,1.3445
19:30,1.3483000000000001
19:40,1.349
19:50,1.3472999999999999
20:00,1.3482000000000001
20:10,1.3512999999999999
20:20,1.34
20:30,1.3489
20:40,1.3952
20:50,1.2225999999999999
21:00,0.93320000000000003
21:10,0.90680000000000005
21:20,0.93710000000000004
21:30,0.93710000000000004
21:40,0.98709999999999998
21:50,0.77639999999999998
22:00,0.4209
22:10,0.38590000000000002
22:20,0.43680000000000002
22:30,0.41980000000000001
22:40,0.41860000000000003
22:50,0.42409999999999998
23:00,0.42370000000000002
23:10,0.42480000000000001
23:20,0.42399999999999999
23:30,0.42199999999999999
23:40,0.42399999999999999
23:50,0.42709999999999998
0:00+1,0.42759999999999998
